"Börsdata ID";"Bolagsnamn";"Info - Land";"Info - Ticker";"Info - Sektor";"Börsvärde - Senaste SEK";"P/E - Senaste";"PEG - Senaste";"Beta - 1år";"P/B - Senaste";"EV/EBIT - Senaste";"EV/S - Senaste";"P/FCF - Senaste";"ROE - Senaste";"ROIC - Senaste";"Bruttomarg - Senaste";"EBIT-marg - Senaste";"Vinstmarg - Senaste";"F-Score - Poäng";"Balanslik. - Senaste";"Omsätt. tillv. - År. tillv. 3år";"N.skuld/Ebitda - Senaste";"Kursutveck. - Utveck.  3m";"Kursutveck. - Utveck.  6m";"Kursutveck. - Utveck.  1år"
"1981";"Agilyx";"Norge";"AGLX";"Industri";"1615,3";"-5,3";;"-0,16";"1,1";"-18,4";"-54,3";"-5,6";"-20,1%";"-15,5%";;;;"1";"30,2";"-157,8%";"-3,8";"-50,7%";"-46,6%";"-57,8%"
"1478";"Agtira";"Sverige";"AGTIRA B";"Dagligvaror";"255,1";"-5,3";;"0,28";"1,5";"-6,6";"3,8";"-9,1";"-28,0%";"-24,7%";"50,2%";"-57,1%";"-64,1%";"3";"0,8";"43,2%";"-1,4";"-4,0%";"-35,5%";"39,4%"
"2337";"Aiforia Technologies";"Finland";"AIFORIA";"Informationsteknik";"664,1";"-4,3";;"0,62";"3,2";"-4,6";"14,6";"-3,8";"-74,2%";"-81,1%";"88,7%";"-316,4%";"-357,9%";"2";"3,1";"30,1%";;"-24,8%";"-37,8%";"-51,4%"
"578";"AIK Fotboll";"Sverige";"AIK B";"Sällanköpsvaror";"35,4";"-1,6";;"0,23";"0,9";"-1,3";"0,1";"-2,6";"-57,7%";"-45,7%";"70,4%";"-8,9%";"-7,5%";"1";"0,7";"7,8%";"-0,7";"6,6%";"2,5%";"-1,5%"
"545";"Aike";"Sverige";"AIKE B";"Industri";"4,1";"-0,1";;"0,31";"0,2";"-0,4";"0,5";"-0,3";"-191,8%";"-168,8%";"70,0%";"-120,3%";"-125,1%";;"0,2";"-45,8%";"-0,7";"-16,1%";"-33,3%";"-75,5%"
"1395";"Aino Health";"Sverige";"AINO";"Industri";"29,5";"-4,8";;"0,88";"-4,6";"-4,5";"0,9";"-12,2";;;"55,6%";"-20,1%";"-23,4%";"3";"0,9";"9,5%";;"-15,8%";"-40,5%";"-28,0%"
"1599";"Aixia";"Sverige";"AIXIA B";"Informationsteknik";"77,5";"-22,1";;"1,21";"3,8";"-37,0";"0,4";"-20,9";"-17,4%";"-14,6%";"31,7%";"-1,0%";"-1,6%";"4";"0,9";"12,5%";"0,8";"-50,3%";"-65,6%";"-53,1%"
"1036";"Akastor";"Norge";"AKAST";"Energi";"4182,5";"-27,4";;"0,69";"0,8";"-251,3";"10,3";"15,4";"-2,8%";"-2,6%";;"-4,1%";"-37,9%";"4";"2,3";"-28,3%";"-1,0";"34,2%";"28,6%";"18,0%"
"1037";"Aker";"Norge";"AKER";"Finans & Fastighet";"86350,3";"23,2";"-0,4";"0,86";"1,9";"-210,9";"8,2";"10,2";"7,1%";"4,5%";"72,1%";"-3,9%";"26,4%";;"1,6";"-19,7%";"15,1";"53,7%";"47,6%";"87,4%"
"1954";"Aker BioMarine";"Norge";"AKBM";"Dagligvaror";"9433,1";"-324,4";;"0,29";"6,3";"83,8";"4,9";"-73,2";"-1,9%";"-1,0%";"44,8%";"5,9%";"-1,3%";"4";"2,5";"-7,7%";"3,1";"15,7%";"13,5%";"80,3%"
"886";"Aker BP";"Norge";"AKRBP";"Energi";"236697,3";"172,0";"-1,9";"1,22";"2,0";"6,3";"2,8";"-41,5";"1,2%";"0,3%";"88,1%";"44,5%";"1,2%";"4";"1,3";"-6,0%";"0,8";"48,2%";"46,0%";"55,5%"
"2070";"Aker Horizons";"Norge";"AKH";"Finans & Fastighet";"21,4";"-0,1";;"1,91";"0,0";"-46,5";"54,8";"-0,0";"-14,8%";"-15,0%";"28,6%";"-117,9%";"-1092,9%";;"1,1";"-77,2%";"-45,8";"-92,0%";"-94,1%";"-98,2%"
"884";"Aker Solutions";"Norge";"AKSO";"Energi";"22619,3";"8,5";"-2,0";"1,06";"2,0";"5,1";"0,3";"6,2";"22,6%";"21,8%";;"5,7%";"4,1%";"6";"0,9";"14,7%";"-0,7";"49,2%";"50,7%";"40,3%"
"2243";"Akobo Minerals";"Norge";"AKOBO";"Material";"396,0";"-2,2";;"-0,42";"-2,4";"60,7";;"-13,1";;"-122,3%";;;;;"14,0";;"1,2";"-13,7%";"-1,2%";"-6,7%"
"704";"Aktia Bank";"Finland";"AKTIA";"Finans & Fastighet";"10275,2";"87,1";"-1,0";"0,91";"1,3";"36,0";"3,0";"25,8";"1,5%";"0,1%";"72,1%";"8,4%";"3,5%";;;"5,2%";;"4,7%";"23,3%";"15,6%"
"1038";"AKVA Group";"Norge";"AKVA";"Dagligvaror";"3965,6";"21,2";"0,4";"0,45";"2,8";"18,0";"1,1";"7,6";"13,1%";"6,9%";"42,7%";"6,3%";"4,1%";"7";"1,3";"9,3%";"2,4";"14,1%";"11,7%";"69,4%"
"952";"AL Sydbank";"Danmark";"ALSYDB";"Finans & Fastighet";"67101,6";"14,9";"-0,5";"0,84";"1,2";"18,0";"6,6";"2,3";"5,0%";"0,6%";"45,6%";"36,6%";"28,0%";;;"10,8%";;"-7,8%";"3,2%";"16,2%"
"1358";"Alcadon Group";"Sverige";"ALCA";"Industri";"784,4";"16,3";"0,6";"-0,02";"1,0";"11,8";"0,7";"9,4";"6,3%";"4,4%";"101,2%";"6,2%";"3,4%";"9";"1,6";"8,9%";"2,0";"37,3%";"48,8%";"33,3%"
"2025";"Alefarm Brewing";"Danmark";"ALEFRM";"Dagligvaror";"62,4";"-27,2";;"0,58";"5,7";"-33,7";"3,5";"89,4";"-20,8%";"-24,5%";"34,6%";"-10,3%";"-13,2%";"4";"4,2";"10,5%";"-2,2";"1,4%";"139,3%";"90,8%"
