"Börsdata ID";"Bolagsnamn";"Info - Land";"Info - Ticker";"Info - Sektor";"Börsvärde - Senaste SEK";"P/E - Senaste";"PEG - Senaste";"Beta - 1år";"P/B - Senaste";"EV/EBIT - Senaste";"EV/S - Senaste";"P/FCF - Senaste";"ROE - Senaste";"ROIC - Senaste";"Bruttomarg - Senaste";"EBIT-marg - Senaste";"Vinstmarg - Senaste";"F-Score - Poäng";"Balanslik. - Senaste";"Omsätt. tillv. - År. tillv. 3år";"N.skuld/Ebitda - Senaste";"Kursutveck. - Utveck.  3m";"Kursutveck. - Utveck.  6m";"Kursutveck. - Utveck.  1år"
"2150";"Linc";"Sverige";"LINC";"Finans & Fastighet";"4114,5";"-10,3";;"0,76";"0,9";"-9,1";;"-15,5";"-9,0%";"-9,6%";;;;;"28,4";;;"4,5%";"-7,7%";"-8,8%"
"127";"Lindab";"Sverige";"LIAB";"Industri";"11739,7";"15,1";"0,1";"1,20";"1,6";"14,4";"1,2";"13,7";"10,4%";"6,6%";"28,3%";"8,5%";"5,9%";"8";"1,8";"1,3%";"2,3";"-27,9%";"-27,7%";"-28,5%"
"732";"Lindex Group";"Finland";"LINDEX";"Sällanköpsvaror";"4246,3";"14,3";"0,1";"0,77";"0,8";"14,2";"1,0";"4,0";"5,8%";"3,0%";"58,2%";"6,8%";"2,8%";"7";"1,0";"-1,0%";"3,2";"-6,9%";"-20,2%";"-26,3%"
"2011";"Link Mobility";"Norge";"LINK";"Telekommunikation";"6821,4";"78,2";"-1,5";"0,49";"1,2";"26,0";"1,2";"-10,2";"1,5%";"1,1%";"23,9%";"4,5%";"1,2%";"5";"1,3";"10,9%";"2,3";"-34,1%";"-33,1%";"-0,2%"
"781";"Link Prop";"Sverige";"LINKAB";"Finans & Fastighet";"208,7";"12,8";"0,3";"0,14";"1,8";"17,7";"8,2";"-21,0";"14,0%";"13,2%";"71,1%";"46,2%";"36,7%";;"0,1";"5,0%";"5,1";"-2,1%";"-2,1%";"-6,0%"
"2081";"Lipigon Pharmaceuticals";"Sverige";"LPGO";"Hälsovård";"4,0";"-0,1";;"-0,84";"0,3";"0,3";"-9,6";"-0,1";"-238,4%";;"-1957,0%";"-2739,3%";"-2731,1%";;"6,0";;;"-17,5%";"-95,7%";"-97,3%"
"2129";"Lipum";"Sverige";"LIPUM";"Hälsovård";"348,0";"-4,3";;"-0,05";"-64,2";"-4,4";;"-8,7";;;;;;"2";"0,6";;;"-2,7%";"1,8%";"-7,4%"
"1080";"Litium";"Sverige";"LITI";"Informationsteknik";"209,9";"-62,8";;"0,70";"1,8";"-66,7";"2,4";"-14,9";"-2,9%";"-3,4%";"65,5%";"-3,6%";"-4,1%";"3";"1,6";"8,0%";"-1,0";"-19,0%";"-13,2%";"27,6%"
"2314";"Logistea B";"Sverige";"LOGI B";"Finans & Fastighet";"6749,6";"16,6";"4,9";"0,72";"0,9";"28,2";"13,3";"-7,4";"5,2%";"2,5%";"90,1%";"47,2%";"37,5%";;"0,6";"61,5%";"15,0";"-6,1%";"-12,8%";"-0,5%"
"2588";"Logistri A";"Sverige";"LOGIST A";"Finans & Fastighet";"1508,3";"13,8";"0,6";;"0,8";"29,1";"13,1";"-1,9";"5,5%";"3,0%";"91,7%";"45,1%";"45,1%";;"2,2";"21,0%";"15,3";"-3,1%";"-6,6%";
"1562";"Logistri B";"Sverige";"LOGIST B";"Finans & Fastighet";"1353,6";"12,4";"0,5";"0,28";"0,7";"27,7";"12,5";"-1,7";"5,5%";"3,0%";"91,7%";"45,1%";"45,1%";;"2,2";"21,0%";"15,3";"-6,7%";"-12,8%";"-6,4%"
"2014";"Lohilo Foods";"Sverige";"LOHILO";"Dagligvaror";"56,5";"-41,7";;"0,24";"4,6";"41,6";"0,4";"-13,3";"-11,1%";"-11,9%";"100,0%";"0,9%";"-0,7%";"4";"0,6";"-7,1%";"2,7";"-10,7%";"58,2%";"4,2%"
"2276";"Loihde";"Finland";"LOIHDE";"Informationsteknik";"820,0";"31,1";"0,2";"0,09";"0,9";"24,5";"0,5";"7,3";"2,8%";"2,7%";"62,5%";"2,1%";"1,6%";"5";"1,4";"5,5%";"0,1";"5,4%";"11,9%";"0,0%"
"2170";"Lokotech";"Norge";"LOKO";"Informationsteknik";"467,2";"-14,5";;"0,71";"3,2";"-13,5";"44,6";"-4,3";"-21,8%";"-34,5%";"90,7%";"-331,2%";"-348,1%";"1";"6,6";"311,8%";;"-12,2%";"1,7%";"-64,7%"
"1258";"Lollands Bank";"Danmark";"LOLB";"Finans & Fastighet";"1467,7";"10,8";"1,0";"0,44";"1,0";"8,5";"3,5";;"9,1%";"1,8%";"35,0%";"41,0%";"32,4%";;;"10,6%";;"5,9%";"17,6%";"29,5%"
"129";"Loomis";"Sverige";"LOOMIS";"Industri";"28400,1";"17,5";"29,4";"0,77";"2,3";"12,7";"1,3";"11,1";"13,2%";"9,2%";"28,8%";"10,0%";"5,2%";"7";"1,1";"6,3%";"1,7";"8,3%";"-0,6%";"3,0%"
"559";"Lovisagruvan";"Sverige";"LOVI";"Material";"41,9";"-15,5";;"0,24";"0,9";"-2,8";"10,4";"-1,6";"-5,8%";"-4,5%";"20,6%";"-369,8%";"-42,9%";"2";"1,0";"-51,6%";"-1,6";"24,4%";"55,1%";"-38,3%"
"2174";"Loyal Solutions";"Sverige";"LOYAL";"Informationsteknik";"35,3";"-6,1";;"1,09";"-0,9";"-40,7";"0,9";"16,2";;;"31,3%";"-2,3%";"-8,1%";"5";"0,7";"22,5%";"-45,3";"14,8%";"33,8%";"-48,7%"
"316";"Lucara Diamond";"Sverige";"LUC";"Material";"2701,2";"3,3";"-0,1";"0,24";"0,3";"7,2";"1,6";"0,8";"8,3%";"3,9%";"51,6%";"21,5%";"16,4%";"5";"1,5";"-9,2%";"3,3";"41,5%";"34,4%";"-33,3%"
"2489";"LumenRadio";"Sverige";"LUMEN";"Telekommunikation";"728,5";"38,2";"-1,2";"0,41";"2,8";"25,8";"2,6";"-196,9";"7,4%";"11,5%";"71,7%";"10,0%";"7,9%";"6";"5,7";"6,7%";"-2,6";"7,2%";"16,7%";"-22,1%"
"2096";"Lumi Gruppen";"Norge";"LUMI";"Industri";"1153,7";"39,0";"0,4";"0,19";"2,2";"21,5";"3,0";"27,5";"5,5%";"4,3%";"50,7%";"14,1%";"5,7%";"7";"0,2";"-0,4%";"3,5";"14,2%";"16,3%";"37,9%"
"1740";"Lumito";"Sverige";"LUMITO";"Hälsovård";"14,5";"-0,3";;"0,82";"0,2";"-0,1";;"-0,5";"-58,0%";"-73,2%";;;;"1";"1,6";;;"-44,0%";"-96,3%";"-98,2%"
"130";"Lundbergföretagen";"Sverige";"LUND B";"Finans & Fastighet";"129084,0";"10,7";"0,1";"0,93";"0,7";"9,5";"5,3";"67,8";"6,7%";"5,3%";;"55,9%";"42,0%";;"0,9";"-0,5%";"1,3";"3,6%";"6,5%";"1,0%"
"595";"Lundin Gold";"Sverige";"LUG";"Material";"159713,5";"21,8";"0,3";"0,26";"12,6";"14,8";"9,3";"18,6";"58,1%";"104,5%";"82,1%";"63,0%";"44,4%";"8";"2,5";"29,8%";"-0,5";"-14,5%";"13,9%";"116,9%"
"131";"Lundin Mining";"Sverige";"LUMI";"Material";"175890,5";"18,3";"0,0";"1,35";"2,9";"15,5";"4,7";"9,7";"13,2%";"11,3%";"34,5%";"30,5%";"25,8%";"7";"1,6";"10,0%";"0,0";"8,4%";"80,2%";"128,0%"
"720";"Luotea";"Finland";"LUOTEA";"Industri";"1021,2";"74,8";"0,5";"0,44";"2,2";"31,6";"0,3";"2,0";"2,9%";"2,7%";"13,3%";"0,9%";"0,3%";"7";"0,9";"-25,7%";"0,3";"-77,4%";"-76,9%";"-73,9%"
"2033";"Luxbright";"Sverige";"LXB";"Hälsovård";"47,9";"-2,5";;"0,17";"1,8";"-2,2";"3,7";"-2,0";"-72,4%";"-78,4%";"-18,2%";"-168,5%";"-170,5%";"1";"1,4";;;"-28,7%";"-45,1%";"-53,7%"
"1259";"Luxor";"Danmark";"LUXOR B";"Finans & Fastighet";"928,7";"13,3";"-0,4";"0,06";"1,6";"19,1";"14,4";"16,1";"12,2%";"9,9%";"128,1%";"75,5%";"59,0%";;"0,0";"3,9%";"8,7";"-19,1%";"-12,1%";"12,8%"
"2368";"Lyckegård";"Sverige";"LYGRD";"Dagligvaror";"183,8";"-59,1";;"0,07";"5,1";"65,1";"0,9";"-17,5";"-8,6%";"-6,4%";"42,2%";"1,5%";"-1,5%";"3";"1,3";"55,9%";"0,6";"-1,5%";"15,4%";"101,5%"
"1573";"Lyko";"Sverige";"LYKO A";"Dagligvaror";"981,4";"-320,5";;"0,57";"2,1";"24,9";"0,5";"5,6";"-0,7%";"-0,3%";"41,9%";"2,0%";"-0,1%";"5";"0,8";"16,8%";"3,8";"-53,6%";"-51,7%";"-47,1%"
"2191";"Lytix Biopharma";"Norge";"LYTIX";"Hälsovård";"855,4";"-12,3";;"0,30";"8,2";"-10,9";;"-6,2";"-66,6%";"-116,4%";;;;"2";"5,9";"-100,0%";;"9,5%";"46,3%";"103,0%"
"1260";"Lån og Spar Bank";"Danmark";"LASP";"Finans & Fastighet";"6186,4";"9,9";"-0,9";"0,30";"1,1";"7,6";"2,7";"-6,8";"11,4%";"1,6%";"36,5%";"35,5%";"27,2%";;;"12,9%";;"-8,5%";"21,0%";"51,3%"
"769";"Lärkberget";"Sverige";"LARK";"Finans & Fastighet";"41,4";"-3,3";;"0,14";"0,7";"-3,0";;"-0,6";"-22,3%";"-23,4%";;;;;"5,4";"-100,0%";;"-9,9%";"-7,5%";"-15,0%"
"2172";"M Vest Water";"Norge";"MVW";"Industri";"210,9";"-10,7";;"-0,07";"6,3";"-11,9";"8,0";"-9,7";"-59,0%";"-48,3%";"60,1%";"-67,4%";"-71,9%";;"0,9";"144,3%";"-0,5";"-21,2%";"-25,8%";"-35,6%"
"1566";"MAG Interactive";"Sverige";"MAGI";"Sällanköpsvaror";"135,1";"-10,6";;"0,44";"0,5";"-6,5";"0,3";"56,4";"-4,3%";"-4,8%";"95,8%";"-5,0%";"-4,6%";"4";"3,6";"-8,5%";"-0,9";"-40,0%";"-64,3%";"-42,3%"
"1952";"Magle Chemoswed";"Sverige";"MAGLE";"Hälsovård";"162,1";"-6,1";;"0,34";"0,3";"-184,8";"1,7";"-1,9";"-5,0%";"-3,0%";"68,4%";"-0,9%";"-9,1%";"2";"2,0";"26,1%";"6,3";"-54,1%";"-60,8%";"-74,8%"
"1112";"Magnora";"Norge";"MGN";"Kraftförsörjning";"1578,7";"76,2";"-0,8";"0,83";"4,2";"-455,4";"14,0";"36,0";"5,4%";"9,6%";"123,1%";"-3,1%";"20,6%";"4";"2,7";"2,4%";;"15,9%";"4,3%";"1,7%"
"1354";"Maha Capital";"Sverige";"MAHA A";"Energi";"2105,7";"-11,5";;"0,96";"2,2";"-12,3";;"8,1";"-19,3%";"-30,0%";;;;"2";"100,4";"-100,0%";;"65,7%";"33,6%";"168,2%"
"2482";"Mahvie Minerals";"Sverige";"MAHVIE";"Material";"85,7";"-12,4";;"0,29";"2,1";"-11,6";"26247,9";"-8,2";"-16,5%";"-16,6%";"100,0%";"-226433,3%";"-229600,0%";"2";"4,7";;;"-21,9%";"2,3%";"80,7%"
"134";"Malmbergs Elektriska";"Sverige";"MEAB B";"Industri";"264,0";"-17,1";;"-0,01";"0,8";"-25,0";"0,6";"3,8";"-4,9%";"-5,1%";"100,0%";"-2,4%";"-3,4%";"4";"3,5";"-11,8%";"0,5";"15,8%";"-4,1%";"-24,8%"
"2513";"Mandatum";"Finland";"MANTA";"Finans & Fastighet";"38155,5";"21,8";"-4,0";"0,82";"2,4";"18,7";"11,5";"23,9";"10,9%";"0,9%";"12,7%";"61,7%";"52,9%";;;"-3,5%";;"0,8%";"17,2%";"20,3%"
"365";"Mangold";"Sverige";"MANG";"Finans & Fastighet";"857,2";"37,7";"0,0";"0,38";"3,7";"32,8";"4,4";"12,1";"9,7%";"9,7%";"18,1%";"13,3%";"11,6%";;;"14,9%";;"-5,7%";"-6,7%";"7,7%"
"1445";"Mantex";"Sverige";"MANTEX";"Industri";"18,2";"-0,7";;"0,45";"3,1";"-1,1";"6,2";"-1,7";"-431,8%";"-259,6%";"88,2%";"-571,6%";"-913,2%";"1";"1,2";"24,2%";;"25,4%";"-18,4%";"-17,8%"
"824";"Marimekko";"Finland";"MEKKO";"Sällanköpsvaror";"4716,6";"17,2";"147,8";"0,82";"5,7";"13,0";"2,2";"13,3";"32,8%";"41,2%";"60,3%";"16,8%";"12,9%";"7";"2,7";"4,4%";"-0,2";"-17,9%";"-20,2%";"-21,5%"
"825";"Martela";"Finland";"MARAS";"Industri";"30,0";"-0,8";;"0,58";"-1,4";"-19,8";"0,2";"0,7";;"-38,5%";"79,0%";"-1,1%";"-3,7%";"3";"0,7";"-4,3%";"2,9";"-23,9%";"-39,0%";"-24,5%"
"1906";"Mashup Ireland";"Sverige";"MASHUP";"Industri";"10,8";"-1,9";;"1,40";"0,1";"-0,9";"0,1";"6,0";"-7,1%";"-4,0%";"31,0%";"-5,6%";"-6,1%";"3";"1,5";"12,5%";;"-47,1%";"-80,5%";"-91,6%"
"977";"Matas";"Danmark";"MATAS";"Dagligvaror";"6186,7";"14,8";"0,9";"0,55";"1,1";"14,5";"0,9";"15,2";"7,3%";"3,8%";"45,6%";"6,1%";"3,2%";"7";"1,2";"24,5%";"3,1";"-14,1%";"-21,1%";"-20,3%"
"2515";"MatvareExpressen";"Norge";"MVE";"Sällanköpsvaror";"231,3";"44,5";"0,4";"0,54";"4,3";"22,2";"0,6";"-169,2";"9,7%";"6,5%";"29,9%";"2,5%";"1,0%";"9";"1,3";"33,2%";"1,9";"-12,0%";"-6,6%";"131,6%"
"2186";"Maven Wireless";"Sverige";"MAVEN";"Telekommunikation";"285,1";"-18,0";;"0,10";"2,3";"-33,6";"1,5";"-14,0";"-12,8%";"-12,6%";"42,4%";"-4,6%";"-8,1%";"2";"1,1";"21,7%";"17,7";"-11,0%";"-37,2%";"-45,0%"
"411";"Mavshack";"Sverige";"MAV";"Sällanköpsvaror";"2,9";"-0,5";;"-0,55";"-0,3";"-0,2";"0,8";"-0,2";;;"87,5%";"-313,1%";"-162,1%";;"0,1";"-56,1%";;"-40,0%";"-55,0%";"-81,3%"
"1748";"Maximum Entertainment";"Sverige";"MAXENT B";"Sällanköpsvaror";"9,3";"-0,0";;"1,00";"0,1";"-2,9";"0,8";"0,3";"-246,9%";"-174,9%";"27,7%";"-26,9%";"-39,1%";"5";"0,3";"-12,2%";"4,9";"-21,3%";"-29,6%";"-63,7%"
"1970";"Mdundo.com";"Danmark";"MDUNDO";"Informationsteknik";"37,0";"-3,1";;"0,14";"3,1";"-3,1";"2,3";"-5,4";"-102,5%";"-169,3%";"-31,5%";"-73,1%";"-84,6%";"2";"0,6";"-9,1%";;"-20,0%";"-43,7%";"-56,0%"
"318";"MedCap";"Sverige";"MCAP";"Hälsovård";"7049,0";"31,8";"6,4";"0,92";"4,8";"24,3";"3,5";"-144,3";"15,1%";"12,6%";"57,6%";"14,4%";"10,4%";"4";"2,0";"23,8%";"0,8";"-13,4%";"-23,0%";"24,2%"
"1417";"Medclair";"Sverige";"MCLR";"Industri";"200,7";"38,8";"0,2";"0,32";"3,4";"34,0";"3,4";"57,2";"8,7%";"9,7%";"47,6%";"9,9%";"8,9%";"7";"3,1";"27,9%";"-0,6";"-26,5%";"-34,2%";"47,5%"
"1331";"Mediacle";"Sverige";"MEGR";"Sällanköpsvaror";"73,1";"6,1";"0,1";"0,29";"0,6";"-2,1";"-0,7";"-2,4";"10,4%";"21,4%";"35,0%";"31,2%";"25,1%";"5";"20,0";"-8,0%";"-7,0";"2,7%";"-20,5%";"-53,6%"
"1459";"Medicover";"Sverige";"MCOV B";"Hälsovård";"30000,7";"36,1";"0,1";"0,65";"5,2";"26,5";"1,7";"128,3";"14,2%";"4,8%";"23,2%";"6,5%";"3,3%";"8";"0,7";"16,3%";"3,7";"-11,0%";"-25,7%";"-0,4%"
"976";"Medistim";"Norge";"MEDI";"Hälsovård";"4004,1";"24,4";"0,5";"0,33";"8,3";"18,9";"5,3";"25,0";"34,0%";"52,1%";"81,7%";"28,0%";"22,8%";"7";"3,3";"12,5%";"-0,8";"-18,8%";"-15,2%";"12,8%"
"136";"Medivir";"Sverige";"MVIR";"Hälsovård";"1166,1";"-3,3";;"1,27";"3,7";"-9,2";"100,3";"-13,3";"-35,7%";"-39,2%";"100,0%";"-1089,4%";"-1110,6%";"3";"3,7";"24,5%";;"467,1%";"28,3%";"39,9%"
"2589";"Meds Apotek";"Sverige";"MEDS";"Hälsovård";"661,2";"80,9";"0,5";;"5,1";"-258,7";"0,6";"-22,6";"5,7%";"8,6%";"28,8%";"-0,2%";"0,7%";"4";"1,6";"18,5%";"-2,1";"-29,5%";;
"137";"MEKO";"Sverige";"MEKO";"Sällanköpsvaror";"3661,5";"99,8";"-1,1";"0,75";"0,6";"19,2";"0,5";"4,9";"0,6%";"0,3%";"41,8%";"2,8%";"0,2%";"4";"1,6";"8,6%";"3,9";"-8,2%";"-21,5%";"-47,1%"
"2429";"Melhus Sparebank";"Norge";"MELG";"Finans & Fastighet";"586,2";"14,1";"-2,8";"0,12";"1,2";"11,1";"7,8";"17,1";"8,2%";"1,2%";"105,3%";"70,8%";"55,8%";;;"-0,4%";;"5,1%";"21,5%";"15,8%"
"2604";"Mendole";"Danmark";"MENDO";"Industri";"56,7";;;;;;;;;;;;;"1";;;;"-10,1%";;
"391";"Mendus";"Sverige";"IMMU";"Hälsovård";"247,2";"-1,8";;"0,50";"0,4";"-1,8";;"-3,0";"-19,4%";"-21,1%";;;;"1";"2,7";;;"-29,3%";"-45,1%";"-43,8%"
"1854";"Mentice";"Sverige";"MNTC";"Hälsovård";"371,3";"-11,5";;"0,49";"2,7";"-12,9";"1,3";"-10,4";"-23,4%";"-28,3%";"91,9%";"-9,9%";"-11,6%";"1";"1,1";"8,6%";"-4,8";"4,8%";"8,2%";"-41,9%"
"258";"Meren Energy";"Sverige";"MER";"Energi";"10065,6";"-13,2";;"0,54";"1,4";"20,8";"1,4";"3,8";"-10,8%";"-5,9%";"11,6%";"6,8%";"-9,4%";"2";"0,9";;"0,5";"26,1%";"17,8%";"5,2%"
"2189";"Merus Power";"Finland";"MERUS";"Kraftförsörjning";"401,3";"-32,1";;"0,71";"3,4";"121,7";"0,7";"-5,9";"-10,7%";"-17,0%";"48,2%";"0,6%";"-2,0%";"1";"1,2";"50,0%";"1,6";"-0,5%";"-12,8%";"-20,4%"
"1741";"Metacon";"Sverige";"META";"Kraftförsörjning";"373,6";"-6,1";;"0,84";"4,9";"-5,3";"1,3";"-6,1";"-79,1%";"-596,1%";"22,9%";"-24,4%";"-25,6%";"2";"1,4";"55,0%";;"-28,1%";"-27,4%";"153,2%"
"691";"Metso";"Finland";"METSO";"Material";"132628,9";"28,0";"1,0";"1,50";"4,4";"17,6";"2,5";"23,6";"15,8%";"10,7%";"32,0%";"14,0%";"8,1%";"6";"1,5";"-0,3%";"1,2";"-2,0%";"16,6%";"28,7%"
"723";"Metsä Board B";"Finland";"METSB";"Material";"10902,0";"-5,9";;"1,16";"0,6";"-7,3";"0,7";"8,3";"-9,4%";"-8,0%";"26,5%";"-9,5%";"-9,3%";"3";"1,6";"-10,5%";"-67,7";"-6,8%";"-9,2%";"-30,3%"
"251";"Micro Systemation";"Sverige";"MSAB B";"Informationsteknik";"1154,2";"22,6";"0,7";"0,53";"7,7";"14,9";"2,2";"16,0";"32,8%";"878,6%";"93,1%";"14,7%";"10,7%";"7";"1,8";"8,4%";"-1,7";"-1,3%";"-2,0%";"19,0%"
"567";"Micropos Medical";"Sverige";"MPOS";"Hälsovård";"167,3";"-7,7";;"0,13";"12,2";"-7,3";"19,4";"-7,2";"-158,1%";"-553,7%";"88,8%";"-265,9%";"-267,1%";"3";"3,3";"95,4%";;"-8,6%";"-47,9%";"-43,9%"
"141";"Midsona B";"Sverige";"MSON B";"Dagligvaror";"1679,7";"165,0";"-2,1";"0,35";"0,6";"34,1";"0,5";"8,1";"0,3%";"0,3%";"27,1%";"1,6%";"0,3%";"6";"2,1";"-2,4%";"1,2";"33,7%";"44,0%";"30,2%"
"1721";"Midsummer";"Sverige";"MIDS";"Kraftförsörjning";"389,7";"-3,2";;"0,31";"2,2";"-9,7";"2,8";"-3,1";"-66,5%";"-26,0%";"18,8%";"-28,7%";"-45,3%";"2";"1,4";"45,5%";"41,8";"-46,3%";"-67,4%";"3,4%"
"2175";"Mildef Group";"Sverige";"MILDEF";"Informationsteknik";"5978,9";"40,4";"0,3";"0,68";"3,9";"30,8";"3,2";"-8,1";"9,8%";"7,0%";"45,0%";"10,5%";"7,3%";"1";"2,1";"40,4%";"1,9";"4,6%";"-32,6%";"-42,2%"
"2502";"MindArk";"Sverige";"MNDRK";"Sällanköpsvaror";"39,4";"18,1";"-0,3";"0,10";"0,4";"-3,9";"0,2";"-5,3";"2,3%";"1,8%";"85,3%";"-4,6%";"2,8%";"4";"2,4";"-5,5%";"-1,4";"-12,6%";"-23,8%";"-3,8%"
"913";"Minesto";"Sverige";"MINEST";"Kraftförsörjning";"161,5";"-4,4";;"0,48";"0,3";"-2,7";;"-3,7";"-5,8%";"-6,5%";;;;"2";"3,6";;;"-11,2%";"-67,2%";"-62,6%"
"1421";"Mips";"Sverige";"MIPS";"Sällanköpsvaror";"5923,4";"49,4";"-3,3";"1,24";"10,5";"38,7";"11,3";"-21,1";"21,4%";"12,7%";"73,4%";"29,3%";"22,5%";"4";"2,9";"-1,8%";"0,6";"-38,0%";"-39,8%";"-46,9%"
"529";"Miris";"Sverige";"MIR";"Hälsovård";"50,4";"-10,5";;"0,87";"2,5";"-11,4";"2,6";"-64,8";"-23,9%";"-32,1%";"87,3%";"-22,8%";"-27,5%";"4";"2,2";"-2,2%";;"15,4%";"-16,2%";"-32,5%"
"1897";"MOBA Network";"Sverige";"MOBA";"Sällanköpsvaror";"17,4";"-0,3";;"2,25";"0,1";"-7,7";"0,9";"-21,7";"-26,8%";"-21,9%";"31,3%";"-11,3%";"-24,5%";"4";"0,2";"-4,7%";"5,5";"201,2%";"-86,7%";"-89,3%"
"246";"Moberg Pharma";"Sverige";"MOB";"Hälsovård";"525,6";"-18,6";;"0,78";"0,8";"-10,2";"20,6";"-8,4";"-4,1%";"-6,3%";"56,7%";"-201,8%";"-201,2%";"3";"14,7";"302,9%";;"16,0%";"20,2%";"36,0%"
"2133";"Modelon";"Sverige";"MODEL";"Informationsteknik";"154,0";"-4,7";;"0,07";"4,6";"-3,5";"1,6";"-4,1";"-97,9%";;"71,6%";"-45,0%";"-45,6%";"1";"1,3";"1,9%";;"-15,5%";"-34,0%";"-36,9%"
"148";"Modern Times Group B";"Sverige";"MTG B";"Sällanköpsvaror";"10795,7";"-165,2";;"0,48";"1,0";"13,2";"1,1";"-1,8";"-0,6%";"-0,4%";"66,0%";"8,3%";"-0,5%";"4";"0,6";"27,9%";"1,1";"-22,2%";"-16,9%";"-26,6%"
"2261";"Modulight";"Finland";"MODU";"Hälsovård";"508,8";"-9,9";;"0,95";"1,0";"-8,3";"5,5";"-7,5";"-10,3%";"-13,1%";"85,8%";"-65,8%";"-65,1%";"3";"3,2";"15,4%";;"-6,3%";"-22,2%";"-22,2%"
"2239";"Modus Therapeutics";"Sverige";"MODTX";"Hälsovård";"37,2";"-2,0";;"0,50";"4,1";"-1,4";;"-2,1";"-204,4%";;;;;"1";"3,5";;;"-5,8%";"-33,5%";"-74,5%"
"1855";"Mofast";"Sverige";"MOFAST";"Finans & Fastighet";"500,5";"14,0";"0,3";"0,16";"0,4";"41,6";"8,8";"5,5";"2,5%";"1,8%";"61,8%";"21,0%";"16,7%";;"0,1";"2,0%";"30,5";"-19,5%";"-17,1%";"-8,7%"
"255";"Moment Group";"Sverige";"MOMENT";"Sällanköpsvaror";"158,5";"4,1";"0,0";"0,76";"1,7";"7,3";"0,5";"1,3";"42,4%";"9,3%";"52,4%";"7,1%";"3,6%";"6";"0,8";"8,6%";"2,9";"27,0%";"-6,8%";"-12,1%"
"2383";"Momentum Group";"Sverige";"MMGR B";"Industri";"6037,5";"30,8";"4,0";"0,63";"7,5";"23,7";"2,1";"66,3";"22,5%";"12,8%";"48,8%";"9,0%";"6,3%";"4";"1,4";"21,2%";"1,3";"-21,3%";"-27,0%";"-25,4%"
"1922";"Monivent";"Sverige";"MONI";"Hälsovård";"30,8";"-3,5";;"0,23";"11,6";"-3,7";"22,4";"-2,8";"-334,7%";"-165,2%";"-180,3%";"-600,1%";"-623,9%";"1";"0,9";"-26,3%";"-0,1";"22,5%";"174,5%";"44,6%"
"1264";"Mons Bank";"Danmark";"MNBA";"Finans & Fastighet";"1135,5";"13,9";"-0,4";"0,15";"1,0";"12,7";"3,2";;"7,1%";"1,3%";"23,6%";"25,1%";"22,0%";;;"7,5%";;"3,3%";"11,9%";"54,1%"
"1946";"Monsenso";"Danmark";"MONSO";"Informationsteknik";"9,1";"-0,8";;"0,57";"0,9";"-1,0";"0,9";"-1,7";"-103,5%";"-78,4%";"40,5%";"-85,1%";"-81,0%";"2";"1,0";"12,8%";"-0,6";"-29,7%";"-52,6%";"-59,1%"
"2563";"Moreld";"Norge";"MORLD";"Industri";"3084,8";"10,5";"0,1";"0,58";"3,8";"5,8";"0,5";"2,3";"36,0%";"14,2%";"52,0%";"8,2%";"2,9%";"8";"1,0";;"0,8";"-4,2%";"-2,9%";"19,8%"
"2614";"Morrow Bank";"Sverige";"MORROW";"Finans & Fastighet";"2741,4";"11,4";"0,3";;"1,1";"8,1";"2,1";"-3,0";"9,6%";"1,3%";"90,5%";"25,9%";"18,2%";;;"21,2%";;;;
"2195";"MoveByBike";"Sverige";"MBBAB";"Industri";"15,8";"-9,7";;"0,53";"38,6";"-54,2";"0,5";"-1,0";"-401,5%";"-235,6%";"151,9%";"-0,9%";"-4,8%";"3";"0,4";"26,6%";"1,2";"0,0%";"-53,4%";"-51,4%"
"897";"Mowi";"Norge";"MOWI";"Dagligvaror";"117746,2";"13,3";"0,3";"0,56";"2,2";"13,2";"2,2";"142,9";"15,7%";"8,5%";"50,1%";"16,8%";"12,6%";"7";"2,9";"5,0%";"2,2";"-10,6%";"0,7%";"6,4%"
"2305";"Movinn";"Danmark";"MOVINN";"Finans & Fastighet";"34,6";"-3,3";;"0,23";"1,9";"-5,2";"0,4";"-7,3";"-56,6%";"-26,4%";"14,9%";"-8,2%";"-7,5%";;"0,5";"7,8%";"-6,9";"9,6%";"3,8%";"-54,9%"
"1593";"MPC Container Ships";"Norge";"MPCC";"Industri";"10698,6";"4,3";"-0,4";"1,09";"1,1";"4,5";"2,3";"4,7";"25,4%";"23,0%";"62,5%";"50,6%";"45,8%";"5";"3,3";"-5,7%";"0,5";"36,9%";"31,1%";"34,3%"
"2066";"MPC Energy Solutions";"Norge";"MPCES";"Kraftförsörjning";"293,3";"-1,8";;"0,10";"0,6";"-6,9";"8,2";"-1,7";"-33,7%";"-14,8%";"70,2%";"-118,4%";"-144,5%";"2";"4,5";"44,4%";"26,7";"-0,8%";"48,5%";"43,5%"
"2571";"mResell";"Sverige";"MRSELL";"Informationsteknik";"92,3";"-4,7";;"0,09";"-5,3";"-8,2";"0,7";"-3,6";;"-352,5%";"24,2%";"-9,0%";"-13,9%";"2";"1,0";;"-1,4";"-9,2%";"-33,7%";"-11,5%"
"1254";"MT Hojgaard B";"Danmark";"MTHH";"Industri";"4415,3";"10,7";"-0,4";"0,64";"2,4";"6,1";"0,3";"17,2";"21,8%";"25,6%";"7,9%";"4,2%";"2,6%";"6";"1,2";"5,7%";"-0,8";"-24,4%";"-12,1%";"34,1%"
